package,tracking_number,management_status,management_status_id,loaded_at
3736260,712396873414,status_asked,1,2021-07-20 13:25:44.542715+00:00
3718330,955505066,status_asked,1,2021-07-20 13:25:44.542715+00:00
3717932,712394673664,status_asked,1,2021-07-20 13:25:44.542715+00:00
3711612,712393032820,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732400,712396484391,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732398,712396484380,status_asked,1,2021-07-20 13:25:44.542715+00:00
3735330,712396798013,status_asked,1,2021-07-20 13:25:44.542715+00:00
3733720,712396738760,status_asked,1,2021-07-20 13:25:44.542715+00:00
3731698,712396403736,status_asked,1,2021-07-20 13:25:44.542715+00:00
3730752,712396270202,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732383,712396483960,status_asked,1,2021-07-20 13:25:44.542715+00:00
3731171,712396363092,status_asked,1,2021-07-20 13:25:44.542715+00:00
3734449,712396772010,status_asked,1,2021-07-20 13:25:44.542715+00:00
3722074,955548655,status_asked,1,2021-07-20 13:25:44.542715+00:00
3717063,712394617115,status_asked,1,2021-07-20 13:25:44.542715+00:00
3719104,955517449,status_asked,1,2021-07-20 13:25:44.542715+00:00
3735015,712396781283,status_asked,1,2021-07-20 13:25:44.542715+00:00
3711620,712393032842,status_asked,1,2021-07-20 13:25:44.542715+00:00
3719530,712394876196,status_asked,1,2021-07-20 13:25:44.542715+00:00
3730510,712396232903,status_asked,1,2021-07-20 13:25:44.542715+00:00
3721952,712395246651,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732467,712396499581,status_asked,1,2021-07-20 13:25:44.542715+00:00
3712890,712393566194,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732896,712396615840,status_asked,1,2021-07-20 13:25:44.542715+00:00
3731013,712396317150,status_asked,1,2021-07-20 13:25:44.542715+00:00
3731906,712396432834,status_asked,1,2021-07-20 13:25:44.542715+00:00
3733169,712396711854,status_asked,1,2021-07-20 13:25:44.542715+00:00
3730537,712396238400,status_asked,1,2021-07-20 13:25:44.542715+00:00
3727806,712396060504,status_asked,1,2021-07-20 13:25:44.542715+00:00
3735231,712396794760,status_asked,1,2021-07-20 13:25:44.542715+00:00
3722851,712395365883,status_asked,1,2021-07-20 13:25:44.542715+00:00
3727088,712395794471,status_asked,1,2021-07-20 13:25:44.542715+00:00
3735216,712396794605,status_asked,1,2021-07-20 13:25:44.542715+00:00
3734967,712396779964,status_asked,1,2021-07-20 13:25:44.542715+00:00
3720583,712395006315,status_asked,1,2021-07-20 13:25:44.542715+00:00
3722503,955552502,status_asked,1,2021-07-20 13:25:44.542715+00:00
