company_id,folio_SII,duemint_reference,billing_month,billing_year
1146,20601,3322376,12,2020
1147,20602,3322377,12,2020
1149,20603,3322378,12,2020
1160,21351,3378017,12,2020
1171,20604,3322379,12,2020
1173,20605,3322380,12,2020
1187,20606,3322381,12,2020
1218,20607,3322382,12,2020
1221,21352,3378018,12,2020
1224,20608,3322383,12,2020
1252,20609,3322384,12,2020
1272,20610,3322385,12,2020
1284,21353,3378019,12,2020
1287,20611,3322386,12,2020
1295,20612,3322387,12,2020
1299,20613,3322388,12,2020
1311,20614,3322389,12,2020
1319,21354,3378020,12,2020
1327,20615,3322390,12,2020
1347,20616,3322391,12,2020
1366,20617,3322392,12,2020
1371,20618,3322393,12,2020
1372,20619,3322394,12,2020
1394,20620,3322395,12,2020
1418,20916,3322690,12,2020
1421,20621,3322396,12,2020
1424,20622,3322397,12,2020
1425,20623,3322398,12,2020
1428,20624,3322399,12,2020
1432,20625,3322400,12,2020
1436,20626,3322401,12,2020
1442,20627,3322402,12,2020
1445,20628,3322403,12,2020
1450,20629,3322404,12,2020
1455,21355,3378021,12,2020
1471,20630,3322405,12,2020
1474,20631,3322406,12,2020
1476,20632,3322407,12,2020
1480,20633,3322408,12,2020
1518,20634,3322409,12,2020
1523,21356,3378022,12,2020
1531,20635,3322410,12,2020
1542,20636,3322411,12,2020
1552,20637,3322412,12,2020
1554,20638,3322413,12,2020
1557,20639,3322414,12,2020
1576,20640,3322415,12,2020
1577,20641,3322416,12,2020
1580,20642,3322417,12,2020
1590,20643,3322418,12,2020
1612,20644,3322419,12,2020
1613,20645,3322420,12,2020
1614,20646,3322421,12,2020
1615,20647,3322422,12,2020
1616,20648,3322423,12,2020
1621,21357,3378023,12,2020
1624,21377,3425841,12,2020
1654,20649,3322424,12,2020
1658,20661,3322436,12,2020
1667,20650,3322425,12,2020
1671,20651,3322426,12,2020
1678,21373,3390340,12,2020
1684,21360,3378026,12,2020
1685,20652,3322427,12,2020
1699,20653,3322428,12,2020
1704,20654,3322429,12,2020
1713,20655,3322430,12,2020
1745,20656,3322431,12,2020
1754,20657,3322432,12,2020
1758,20658,3322433,12,2020
1772,20659,3322434,12,2020
1773,20660,3322435,12,2020
1793,21361,3378027,12,2020
