company_id,company_name,first_owner,second_owner,new_first_owner,new_second_owner
1261,deftsoft,1,1,14,14
956,Venta de alimentos Maria Gabriela Miño EIRL,1,1,14,14
955,sebastian perez ,1,1,14,14
780,GAIA KIDS,1,1,14,14
942,The Pinkfire,1,1,14,14
791,ROOTS EIRL,3,0,14,14
731,PRODESA,3,2,14,2
1661,CIMECH PRO SPA,10,10,10,10
3819,Aceite de Oliva Bethania.cl,13,13,14,14
795,Andes Online,1,1,14,14
693,De tal palo spa,1,1,14,14
325,Moment SpA,1,1,14,14
23,Nboga.cl,1,0,14,14
794,Balmaceda Larrain Spa,3,0,14,14
787,HIGHTRIP ,1,1,14,14
823,Arturo Vial Reynal Diseño y Construcción E.I.R.L,1,1,14,14
753,Pampa,1,1,14,14
712,Creado en Chile,1,6,14,6
695,JotaEme,1,1,14,14
694,Comercial Typos SA,1,1,14,14
718,IVI Vision SpA,3,0,14,14
716,Comercializadora El perro de tela limitada,1,1,14,14
712,Creado en Chile,1,6,14,6
822,Devitrina.cl,1,1,14,14
799,For You & Me,1,1,14,14
825,Victoria raveau,1,1,14,14
1213,Shepherds Chile,3,0,14,14
863,Greenti,1,0,14,14
1225,Bazar ED,2,2,2,2
732,Melollevo.cl,1,0,14,14
781,Sociedad Felinus SpA,5,5,14,14
804,Comercial kado Ltda,1,1,14,14
719,pontetu,1,1,14,14
722,Vet Chile,1,1,14,14
3515,ESCUELAS DEPORTIVAS FORMANDO CAMPEONES,13,13,14,14
4160,Informatica Stech Limitada,13,13,14,14
4164,Carrito fácil ,13,13,14,14
638,Mai hecho a mano limitada,6,6,6,6
1298,deulys,4,4,14,14
43,Bawal,1,1,14,14
183,Music Paper,1,1,14,14
917,All Free,1,1,14,14
876,Comercializadora Z&V Ltda,4,4,14,14
650,padeltime spa,10,10,10,10
1225,Bazar ED,2,2,2,2
1598,CAMBIA TU NUTRICION,4,4,14,14
828,Ripholia Fitness,1,1,14,14
829,Comunicados Chile ,1,1,14,14
830,AGRICOLA E INMIBILIARIA TALACANTA,1,1,14,14
848,Wavemix,1,1,14,14
831,CaseboxCL,1,1,14,14
2618,Supps Nutrition ,9,9,9,9
847,Platanus,1,1,14,14
875,DecoUrbanoChile,1,1,14,14
1632,Sinverguenza SPA,4,4,14,14
914,webtienda,1,1,14,14
3332,Juega Liebre ,9,9,9,9
1225,Bazar ED,2,2,2,2
1225,Bazar ED,2,2,2,2
2988,owner,13,13,14,14
910,Pichokaluga,3,0,14,14
968,Granja Avicola Mi Tierra,1,1,14,14
894,BioBrush P&P,10,10,10,10
737,Poster House,1,6,14,6
4121,EligePo,9,9,9,9
3945,Rucapeque,6,6,6,6
970,Pan&Paté,1,1,14,14
692,nashion it,1,1,14,14
926,Morita Baby & Kids,1,1,14,14
468,La Mariposa,1,1,14,14
3619,ZOË PARIS,8,8,8,8
969,ChilePisco SpA,1,1,14,14
3776,La Forza,8,8,8,8
1516,Vitrina Carioca SpA.,4,4,14,14
2516,Vitrineate,8,8,8,8
849,TuVaso,1,1,14,14
3309,DISTRIBUIDORA VENCHI SPA,13,13,14,14
943,clie ltda,1,1,14,14
944,Notorious,1,1,14,14
712,Creado en Chile,1,6,14,6
851,Iterando SpA,1,1,14,14
856,SOM TE GOURMET,1,1,14,14
835,Cami Eventos,1,1,14,14
852,Aloprint,1,1,14,14
2580,bioquimica.cl,9,9,9,9
878,Desayulove,1,1,14,14
877,The Insiders Premios,1,1,14,14
931,ALMA ,1,1,14,14
918,Comercial Textil Phoenix Spa,6,6,6,6
3461,Viña Mesa Bozzolo,13,13,14,14
1514,María José García,4,4,14,14
958,Don Guillermo,1,1,14,14
3485,Club Repostero,8,8,8,8
3484,Librería Lolita,8,8,8,8
4009,Collectio,13,13,14,14
936,devra,1,1,14,14
960,javiera barja,1,0,14,14
3639,Jacaranda Baby & Kids,13,13,14,14
430,BIOTECNIMED CHILE,1,1,14,14
854,Movic SpA,1,1,14,14
945,Páramo Store,1,1,14,14
861,Asesora2 SPA,1,1,14,14
853,Green Mountain SPA,1,1,14,14
846,Coffeebox SpA,3,0,14,14
971,HighBox,1,1,14,14
858,Chile Hecho a Mano ,1,1,14,14
855,PickUp Point,1,1,14,14
859,AMIGOTE,3,0,14,14
1225,Bazar ED,2,2,2,2
2584,Eduardo Fica,1,1,14,14
902,lovestore,1,1,14,14
929,Tribus Fungi SPA,3,0,14,14
911,Inversiones J y B Limitada,1,1,14,14
1475,Ticblue,4,4,14,14
3165,SOLOFERTA.CL,9,9,9,9
